Task,Condition,SSRT,mean_SSD,p_respond,mean_go_RT,sd_go_RT,mean_stopfail_RT,sd_stopfail_RT,omission_rate,go_acc,stopfail_acc,PSS_all
Single Task,,234.2,416.7,0.49,659.1,115.3,588.0,87.3,0.003,0.99,0.994,0.56
Cued Task Switching,cue_stay_task_stay,263.7,467.6,0.51,747.7,140.3,668.5,107.6,0.024,0.92,0.956,1.34
Cued Task Switching,cue_switch_task_switch,269.5,481.2,0.49,771.0,140.9,695.6,108.8,0.022,0.9,0.927,2.49
Cued Task Switching,['cue_switch_task_stay'],263.2,472.0,0.45,771.7,144.2,686.7,94.5,0.017,0.92,0.956,28.72
Directed Forgetting,con,336.5,263.9,0.56,606.0,133.1,562.5,109.7,0.01,0.97,0.967,-2.76
Directed Forgetting,neg,340.0,260.8,0.51,625.1,155.1,566.1,113.9,0.009,0.91,0.919,4.76
Directed Forgetting,['pos'],305.8,265.6,0.56,563.0,145.0,526.3,135.7,0.005,0.9,0.846,-3.12
Flanker,congruent,237.8,363.7,0.49,626.2,119.8,562.1,85.8,0.006,0.99,0.991,6.55
Flanker,incongruent,238.5,388.0,0.48,647.0,117.0,592.6,91.8,0.007,0.98,0.975,4.29
n-Back,1.0,256.8,444.6,0.49,715.8,156.2,641.6,113.0,0.01,0.91,0.915,16.77
n-Back,2.0,295.3,404.6,0.46,734.4,179.6,641.2,156.7,0.006,0.8,0.868,-5.69
n-Back,[3.0],277.4,427.7,0.46,740.1,177.5,630.1,147.2,0.019,0.72,0.733,6.07
Predictable Task Switching,stay,238.6,457.0,0.5,704.7,141.0,628.2,98.2,0.01,0.92,0.934,-0.76
Predictable Task Switching,switch,248.5,483.6,0.49,757.9,161.7,655.4,124.6,0.008,0.88,0.913,21.72
Shape Matching,control,268.3,390.8,0.49,682.3,117.4,632.1,100.6,0.002,0.97,0.977,0.25
Shape Matching,distractor,269.4,419.9,0.49,709.4,123.3,655.8,103.7,0.004,0.96,0.967,7.64
Shape Matching,"['DSD', 'SSS']",264.7,412.9,0.49,696.8,119.6,642.1,102.6,0.006,0.98,0.984,13.76
