,SSRT,mean_SSD,p_respond,mean_go_RT,sd_go_RT,mean_stopfail_RT,sd_stopfail_RT,omission_count,omission_rate,go_acc,stopfail_acc,PSS_all,PSS_fail,PSS_success
SE,236.756,404.593,0.493,650.052,121.475,576.98,89.635,0.246,0.003,0.99,0.991,-0.318,22.271,-21.853
cued_task_switching,,,,,,,,,,,,11.64,23.409,2.551
cued_task_switching_DC,263.154,448.385,0.515,726.011,132.133,654.332,98.503,0.6,0.015,0.926,0.962,12.556,21.455,3.313
cued_task_switching_DE,260.392,464.885,0.486,750.471,140.922,684.553,102.453,0.938,0.012,0.899,0.929,8.807,22.909,-4.099
cued_task_switching_OTHER,259.362,449.577,0.449,748.879,140.232,663.155,92.223,0.415,0.01,0.93,0.959,7.941,27.379,2.811
directed_forgetting,,,,,,,,,,,,7.799,7.284,8.151
directed_forgetting_DC,342.477,246.477,0.565,587.854,127.832,553.465,100.829,0.446,0.011,0.966,0.968,6.005,3.828,12.254
directed_forgetting_DE,345.553,244.205,0.505,616.562,151.442,564.703,109.484,0.375,0.009,0.908,0.927,12.791,16.236,23.197
directed_forgetting_OTHER,305.155,249.451,0.562,553.806,139.165,516.814,123.438,0.29,0.004,0.907,0.877,4.107,8.804,4.194
flanker,,,,,,,,,,,,6.262,29.402,-16.857
flanker_DC,240.569,353.902,0.489,612.146,112.818,550.677,83.372,0.323,0.004,0.991,0.991,4.117,27.646,-18.357
flanker_DE,238.7,380.682,0.488,636.46,114.287,584.189,91.362,0.292,0.004,0.975,0.965,8.811,29.896,-12.908
n_back,,,,,,,,,,,,5.015,59.787,-53.059
n_back_DC,261.189,421.205,0.494,690.404,147.724,622.373,130.462,0.516,0.008,0.918,0.922,12.389,70.285,-44.491
n_back_DE,291.189,404.48,0.465,729.343,178.989,643.263,170.214,0.569,0.009,0.816,0.87,-5.475,68.038,-57.669
n_back_OTHER,282.057,419.091,0.466,739.604,180.418,639.169,161.731,0.781,0.013,0.713,0.757,16.458,50.806,-35.472
predictable_task_switching,,,,,,,,,,,,13.281,30.3,-4.588
predictable_task_switching_DC,242.621,429.545,0.49,694.535,139.685,616.897,94.018,0.508,0.006,0.926,0.941,6.818,34.108,-22.118
predictable_task_switching_DE,255.038,462.235,0.49,740.769,159.034,651.478,116.535,0.422,0.005,0.884,0.913,20.449,36.261,11.996
shape_matching,,,,,,,,,,,,7.161,22.413,-9.534
shape_matching_DC,270.446,378.655,0.489,672.468,113.842,624.497,90.461,0.297,0.004,0.976,0.979,4.066,24.641,-18.683
shape_matching_DE,274.038,404.609,0.493,700.424,120.343,650.128,101.173,0.492,0.004,0.963,0.96,6.737,24.102,-13.113
shape_matching_OTHER,269.685,396.572,0.493,687.737,117.384,628.1,90.334,0.431,0.005,0.97,0.977,9.504,20.996,-9.135
