,SSRT_wThresh_subs,mean_SSD_wThresh_subs,p_respond_wThresh_subs,mean_go_RT_wThresh_subs,sd_go_RT_wThresh_subs,mean_stopfail_RT_wThresh_subs,sd_stopfail_RT_wThresh_subs,omission_count_wThresh_subs,omission_rate_wThresh_subs,go_acc_wThresh_subs,stopfail_acc_wThresh_subs,PSS_all_wThresh_subs,PSS_fail_wThresh_subs,PSS_success_wThresh_subs
SE,236.73,424.385,0.491,669.822,125.805,592.629,95.699,0.262,0.003,0.988,0.988,-0.901,22.18,-22.927
cued_task_switching,,,,,,,,,,,,11.64,23.409,2.551
cued_task_switching_DC,263.154,448.385,0.515,726.011,132.133,654.332,98.503,0.6,0.015,0.926,0.962,12.556,21.455,3.313
cued_task_switching_DE,260.392,464.885,0.486,750.471,140.922,684.553,102.453,0.938,0.012,0.899,0.929,8.807,22.909,-4.099
cued_task_switching_OTHER,259.362,449.577,0.449,748.879,140.232,663.155,92.223,0.415,0.01,0.93,0.959,7.941,27.379,2.811
directed_forgetting,,,,,,,,,,,,10.606,14.676,3.373
directed_forgetting_DC,300.333,333.889,0.514,650.256,140.618,599.707,121.456,0.861,0.022,0.962,0.968,25.901,25.794,20.58
directed_forgetting_DE,305.329,334.929,0.461,683.699,172.966,613.695,112.25,0.629,0.016,0.91,0.903,16.296,-5.518,31.241
directed_forgetting_OTHER,292.757,331.217,0.567,622.87,161.626,569.225,139.605,1.079,0.013,0.91,0.89,-2.869,3.949,-9.147
flanker,,,,,,,,,,,,6.218,30.169,-17.722
flanker_DC,243.427,365.121,0.488,623.803,118.696,559.872,89.573,0.565,0.007,0.99,0.988,4.154,29.47,-20.142
flanker_DE,241.4,383.769,0.487,639.846,115.131,587.249,97.933,0.538,0.007,0.972,0.962,9.176,30.719,-15.528
n_back,,,,,,,,,,,,7.674,64.466,-49.358
n_back_DC,257.377,445.705,0.492,709.227,153.119,636.091,139.066,1.492,0.024,0.913,0.911,20.406,86.556,-46.14
n_back_DE,283.417,420.744,0.456,743.455,183.352,651.724,174.235,1.065,0.017,0.811,0.851,-8.312,69.466,-63.329
n_back_OTHER,288.016,426.875,0.464,746.803,181.601,643.928,168.895,0.953,0.016,0.71,0.745,11.326,52.88,-34.731
predictable_task_switching,,,,,,,,,,,,14.106,31.485,-4.112
predictable_task_switching_DC,241.357,442.024,0.489,706.541,143.296,625.677,98.569,0.667,0.008,0.925,0.938,8.074,36.146,-27.57
predictable_task_switching_DE,255.4,467.0,0.49,746.254,160.384,655.271,119.564,0.708,0.009,0.877,0.915,20.675,27.555,12.357
shape_matching,,,,,,,,,,,,7.858,25.38,-10.646
shape_matching_DC,268.778,388.571,0.488,677.059,113.709,625.385,98.738,0.397,0.005,0.975,0.975,2.898,23.66,-19.869
shape_matching_DE,270.409,419.866,0.492,708.095,123.231,654.129,102.91,0.694,0.006,0.961,0.964,8.845,26.635,-8.105
shape_matching_OTHER,268.405,406.865,0.492,693.087,117.989,631.406,94.597,0.444,0.006,0.972,0.975,10.83,25.094,-3.534
