,SSRT_wThresh_SSDs,mean_SSD_wThresh_SSDs,p_respond_wThresh_SSDs,mean_go_RT_wThresh_SSDs,sd_go_RT_wThresh_SSDs,mean_stopfail_RT_wThresh_SSDs,sd_stopfail_RT_wThresh_SSDs,omission_count_wThresh_SSDs,omission_rate_wThresh_SSDs,go_acc_wThresh_SSDs,stopfail_acc_wThresh_SSDs,PSS_all_wThresh_SSDs,PSS_fail_wThresh_SSDs,PSS_success_wThresh_SSDs
SE,233.735,421.659,0.499,659.11,115.281,588.372,87.359,0.281,0.003,0.988,0.99,2.638,25.084,-21.025
cued_task_switching,,,,,,,,,,,,10.181,19.66,4.024
cued_task_switching_DC,263.672,467.578,0.508,747.735,140.346,668.497,107.569,0.969,0.024,0.923,0.956,6.581,27.292,-1.52
cued_task_switching_DE,269.516,481.172,0.486,770.982,140.865,695.564,108.838,1.781,0.022,0.895,0.927,-2.04,8.508,-13.005
cued_task_switching_OTHER,263.154,472.315,0.452,771.713,144.204,686.699,94.482,0.688,0.017,0.917,0.956,41.469,23.652,61.534
directed_forgetting,,,,,,,,,,,,-0.613,-9.21,9.643
directed_forgetting_DC,269.451,335.747,0.623,605.958,133.147,571.777,103.621,0.406,0.01,0.969,0.977,11.186,48.067,-19.996
directed_forgetting_DE,275.124,332.486,0.564,625.077,155.077,592.726,122.102,0.375,0.009,0.907,0.914,26.13,-50.612,120.057
directed_forgetting_OTHER,252.254,338.239,0.633,562.989,144.996,542.431,126.15,0.438,0.005,0.901,0.922,-3.631,-26.176,16.615
flanker,,,,,,,,,,,,5.995,29.102,-19.236
flanker_DC,236.934,367.685,0.5,626.215,119.804,562.448,85.588,0.469,0.006,0.992,0.991,7.355,-0.28,15.548
flanker_DE,237.114,390.427,0.485,647.036,116.965,592.29,91.676,0.531,0.007,0.979,0.976,11.418,23.178,-1.529
n_back,,,,,,,,,,,,7.489,74.826,-65.808
n_back_DC,252.451,451.913,0.499,715.818,156.168,642.184,120.481,0.594,0.01,0.914,0.916,20.444,86.359,-48.782
n_back_DE,293.944,410.693,0.461,734.391,179.593,644.343,157.126,0.344,0.006,0.8,0.877,-8.984,76.403,-83.072
n_back_OTHER,275.953,433.52,0.468,740.143,177.547,632.648,148.482,1.152,0.019,0.719,0.735,7.025,67.851,-59.095
predictable_task_switching,,,,,,,,,,,,9.466,28.975,-7.351
predictable_task_switching_DC,238.177,449.656,0.494,704.717,140.953,628.023,98.571,0.781,0.01,0.916,0.938,13.491,3.307,9.3
predictable_task_switching_DE,247.465,477.02,0.487,757.939,161.725,655.302,122.252,0.656,0.008,0.88,0.904,23.204,38.623,9.231
shape_matching,,,,,,,,,,,,8.111,27.405,-13.804
shape_matching_DC,265.856,395.853,0.492,682.303,117.435,632.122,100.073,0.194,0.002,0.974,0.981,5.56,15.527,-0.701
shape_matching_DE,268.584,423.931,0.496,709.413,123.34,655.085,102.976,0.452,0.004,0.963,0.967,1.165,6.9,-11.197
shape_matching_OTHER,261.172,418.07,0.5,696.752,119.58,641.15,102.676,0.455,0.006,0.977,0.984,10.613,8.97,3.455
